datetime,state,country
1956-06-15,NJ,us
1956-06-15,NY,us
1956-06-16,OH,us
1956-06-24,CA,us
1956-06-30,PA,us
1956-06-30,MO,us
1956-06-30,NJ,us
1956-07-01,NE,us
1956-07-12,KS,us
1956-07-14,CA,us
1956-07-15,OH,us
1956-08-01,AL,us
1956-08-01,MA,us
1956-09-09,VA,us
1956-09-15,MD,us
1956-09-20,AR,us
1956-10-01,NH,us
1956-10-10,TX,us
1956-11-15,SD,us
1956-12-01,OH,us
1957-01-01,TX,us
1957-03-05,LA,us
1957-03-15,CA,us
1957-03-15,CA,us
1957-05-01,OH,us
1957-05-25,NY,us
1957-06-01,TX,us
1957-06-01,NY,us
1957-06-01,TX,us
1957-06-06,NY,us
1957-06-14,ME,us
1957-06-15,IN,us
1957-06-15,MI,us
1957-06-19,CA,us
1957-06-21,CA,us
1957-06-30,MI,us
1957-06-30,NY,us
1957-06-30,IA,us
1957-06-30,AR,us
1957-06-30,NY,us
1957-06-30,CA,us
1957-07-01,WV,us
1957-07-01,TX,us
1957-07-10,NJ,us
1957-07-10,MD,us
1957-07-13,OH,us
1957-07-15,CA,us
1957-07-15,TX,us
1957-07-15,PA,us
1957-07-15,CA,us
1957-07-15,CO,us
1957-07-15,UT,us
1957-07-15,MO,us
1957-08-01,ID,us
1957-08-03,OH,us
1957-08-07,IN,us
1957-08-09,CA,us
1957-08-14,NY,us
1957-08-15,WA,us
1957-08-15,MA,us
1957-08-15,NH,us
1957-08-17,IN,us
1957-09-01,TX,us
1957-09-01,OH,us
1957-09-05,CA,us
1957-09-10,MN,us
1957-09-15,TX,us
1957-09-15,TX,us
1957-09-15,WA,us
1957-09-20,KY,us
1957-10-01,AK,us
1957-10-01,IA,us
1957-10-01,NJ,us
1957-10-05,MN,us
1957-10-15,AR,us
1957-10-15,TX,us
1957-10-15,CO,us
1957-11-10,NJ,us
1957-11-10,TX,us
1957-12-28,WI,us
1957-12-28,WI,us
1958-01-01,TX,us
1958-02-15,MI,us
1958-04-17,VT,us
1958-04-17,VT,us
1958-05-05,MD,us
1958-05-07,CA,us
1958-06-01,NC,us
1958-06-01,CA,us
1958-06-01,NY,us
1958-06-01,TX,us
1958-06-01,NE,us
1958-06-06,OH,us
1958-06-10,CA,us
1958-06-15,KS,us
1958-06-15,NY,us
1958-06-15,CA,us
1958-06-15,TX,us
1958-06-15,OK,us
1958-06-30,WA,us
1958-06-30,GA,us
1958-06-30,ME,us
1958-06-30,KS,us
1958-06-30,LA,us
1958-07-01,NE,us
1958-07-01,IN,us
1958-07-10,NY,us
1958-07-15,CA,us
1958-07-20,WY,us
1958-07-30,MD,us
1958-08-01,CT,us
1958-08-08,ME,us
1958-08-10,WA,us
1958-08-15,GA,us
1958-09-01,ND,us
1958-09-07,ND,us
1958-09-14,KY,us
1958-10-20,MN,us
1958-10-25,OR,us
1958-10-30,IL,us
1958-11-15,RI,us
1958-11-25,WI,us
1959-01-10,CA,us
1959-04-01,FL,us
1959-04-15,NJ,us
1959-04-26,PA,us
1959-05-01,OH,us
1959-05-05,CA,us
1959-05-15,IL,us
1959-05-30,OH,us
1959-06-01,CT,us
1959-06-01,OH,us
1959-06-01,NE,us
1959-06-05,CO,us
1959-06-10,MI,us
1959-06-15,MT,us
1959-06-15,MN,us
1959-06-15,CA,us
1959-06-15,WV,us
1959-06-23,MN,us
1959-06-28,AZ,us
1959-06-30,WI,us
1959-06-30,NY,us
1959-06-30,AZ,us
1959-07-01,CA,us
1959-07-01,WA,us
1959-07-07,CA,us
1959-07-15,IN,us
1959-07-16,MA,us
1959-07-19,OH,us
1959-07-22,KY,us
1959-08-01,TX,us
1959-08-10,CA,us
1959-08-13,NY,us
1959-08-13,NY,us
1959-08-15,NM,us
1959-09-15,NV,us
1959-09-15,OH,us
1959-10-01,IL,us
1959-10-15,WA,us
1959-10-16,WV,us
1959-11-11,FL,us
1959-11-15,IN,us
1959-12-20,CA,us
1959-12-30,CA,us
1960-01-15,VA,us
1960-02-01,MN,us
1960-02-01,GA,us
1960-02-18,NC,us
1960-03-12,TX,us
1960-04-01,TX,us
1960-05-01,AZ,us
1960-05-15,IN,us
1960-06-01,WA,us
1960-06-01,WA,us
1960-06-01,CA,us
1960-06-01,CA,us
1960-06-01,MI,us
1960-06-01,ME,us
1960-06-03,CA,us
1960-06-06,FL,us
1960-06-10,PA,us
1960-06-12,MT,us
1960-06-13,CA,us
1960-06-15,MD,us
1960-06-15,KS,us
1960-06-18,IL,us
1960-06-21,KY,us
1960-06-30,PA,us
1960-07-01,OR,us
1960-07-04,WI,us
1960-07-15,CA,us
1960-07-15,NC,us
1960-07-15,TX,us
1960-07-30,CA,us
1960-08-01,PA,us
1960-08-01,CT,us
1960-08-01,MA,us
1960-08-01,NJ,us
1960-08-10,NY,us
1960-08-10,NJ,us
1960-08-15,MA,us
1960-08-15,MA,us
1960-08-17,CA,us
1960-08-20,PA,us
1960-08-28,ND,us
