Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,44.630001,45.000000,43.930000,44.009998,42.149231,5482800
2016-05-03,44.230000,44.279999,42.939999,43.139999,41.316013,6220500
2016-05-04,42.799999,42.810001,41.389999,41.660000,39.898590,7609600
2016-05-05,41.759998,42.139999,41.389999,41.529999,39.774086,5969100
2016-05-06,41.470001,41.939999,40.740002,41.730000,39.965622,6550400
2016-05-09,41.790001,42.570000,41.750000,42.189999,40.406185,5495900
2016-05-10,42.279999,42.910000,42.099998,42.849998,41.038273,5264400
2016-05-11,42.700001,43.610001,42.080002,42.110001,40.329567,7124800
2016-05-12,42.250000,42.369999,40.849998,41.220001,39.477196,5669900
2016-05-13,41.430000,42.240002,41.310001,41.560001,39.802818,5486300
2016-05-16,41.610001,42.369999,41.320000,42.230000,40.444496,6059300
2016-05-17,42.049999,42.950001,42.000000,42.200001,40.415752,5162100
2016-05-18,42.009998,43.240002,41.919998,42.900002,41.086159,6035600
2016-05-19,42.750000,42.959999,41.500000,42.169998,40.387028,5693700
2016-05-20,42.340000,42.990002,42.080002,42.189999,40.406185,4195000
2016-05-23,42.189999,42.560001,42.119999,42.209999,40.425339,3850100
2016-05-24,42.299999,43.000000,42.180000,42.799999,40.990395,3513800
2016-05-25,42.820000,43.290001,42.419998,42.529999,40.731804,4441000
2016-05-26,42.570000,42.689999,41.570000,41.790001,40.023094,5019900
2016-05-27,41.820000,42.389999,41.820000,42.330002,40.540257,3315900
2016-05-31,42.349998,42.540001,42.040001,42.480000,40.683910,4878500
2016-06-01,42.480000,42.650002,42.090000,42.540001,40.741386,4083100
2016-06-02,42.320000,42.619999,42.029999,42.169998,40.387028,4390900
2016-06-03,41.910000,41.970001,41.110001,41.689999,39.927326,5081800
2016-06-06,41.500000,41.860001,41.209999,41.770000,40.100124,3516500
2016-06-07,41.709999,43.459999,41.570000,43.070000,41.348148,6401500
2016-06-08,43.270000,43.900002,43.049999,43.500000,41.760967,6527000
2016-06-09,43.459999,44.330002,43.349998,44.189999,42.423374,5605200
2016-06-10,43.910000,44.049999,43.230000,43.630001,41.885765,4661100
2016-06-13,43.220001,43.490002,41.910000,42.160000,40.474533,6586700
2016-06-14,41.950001,42.220001,39.599998,39.880001,38.285686,15154200
2016-06-15,40.250000,40.669998,39.759998,39.939999,38.343281,7023400
2016-06-16,39.450001,40.090000,39.180000,39.779999,38.189682,6621500
2016-06-17,39.599998,40.180000,39.580002,39.740002,38.151283,5633700
2016-06-20,40.049999,40.480000,39.900002,40.020000,38.420086,4190600
2016-06-21,40.470001,40.880001,39.980000,40.520000,38.900101,6376300
2016-06-22,40.520000,40.720001,40.000000,40.259998,38.650494,4816700
2016-06-23,40.720001,40.750000,38.200001,39.590000,38.007282,16781900
2016-06-24,37.880001,39.240002,37.740002,38.310001,36.778458,19699900
2016-06-27,37.980000,38.009998,36.480000,36.759998,35.290413,12934600
2016-06-28,37.720001,37.830002,36.750000,37.430000,35.933632,8281900
2016-06-29,38.200001,39.160000,37.759998,38.889999,37.335262,8616200
2016-06-30,38.959999,39.209999,38.540001,39.209999,37.642467,5333300
2016-07-01,39.259998,39.770000,39.209999,39.599998,38.016869,6490500
2016-07-05,39.740002,39.750000,38.660000,39.209999,37.642467,5302400
2016-07-06,38.680000,39.160000,38.150002,39.130001,37.565674,5409500
2016-07-07,39.000000,39.950001,39.000000,39.849998,38.256878,3774300
2016-07-08,40.060001,40.910000,40.049999,40.540001,38.919300,4747700
2016-07-11,40.939999,41.340000,40.810001,41.040001,39.399303,5849200
2016-07-12,41.639999,45.000000,41.630001,42.840000,41.127354,8662000
2016-07-13,43.220001,43.299999,42.160000,42.400002,40.704937,6268000
2016-07-14,42.869999,43.340000,42.430000,43.169998,41.444153,6168700
2016-07-15,43.119999,43.570000,42.700001,43.160000,41.434563,5868500
2016-07-18,43.290001,43.560001,43.119999,43.180000,41.453758,4805700
2016-07-19,42.880001,43.169998,42.570000,42.720001,41.012150,5526300
2016-07-20,43.020000,43.029999,41.939999,42.029999,40.349735,8225100
2016-07-21,39.080002,39.270000,37.220001,37.320000,35.828026,33749100
2016-07-22,37.910000,38.049999,37.009998,37.830002,36.317642,18313200
2016-07-25,37.840000,38.000000,37.020000,37.360001,35.866432,11389000
2016-07-26,37.810001,38.299999,37.509998,38.279999,36.749645,10525600
2016-07-27,37.590000,37.790001,37.200001,37.480000,35.981632,8619800
2016-07-28,37.470001,37.639999,37.139999,37.470001,35.972038,6339300
2016-07-29,37.490002,37.880001,37.009998,37.009998,35.530422,6760800
2016-08-01,37.160000,37.369999,36.650002,37.040001,35.559219,6787800
2016-08-02,36.849998,36.939999,35.419998,35.540001,34.119190,9579900
2016-08-03,35.500000,36.000000,35.430000,35.880001,34.445602,6992300
2016-08-04,36.209999,36.810001,36.090000,36.419998,34.964008,7366200
2016-08-05,36.799999,37.869999,36.770000,37.849998,36.336842,9160400
2016-08-08,37.770000,38.029999,37.270000,37.450001,35.952827,5918400
2016-08-09,37.750000,37.950001,37.299999,37.459999,35.962433,4827300
2016-08-10,37.180000,37.349998,36.599998,36.990002,35.511227,6507100
2016-08-11,36.959999,37.529999,36.799999,37.240002,35.751232,5974600
2016-08-12,37.070000,37.209999,36.419998,36.520000,35.060020,7717800
2016-08-15,36.500000,36.950001,36.330002,36.880001,35.405617,5617800
2016-08-16,36.700001,36.790001,36.410000,36.520000,35.155338,5773000
2016-08-17,36.549999,36.950001,36.480000,36.849998,35.473003,5891900
2016-08-18,36.849998,36.900002,36.520000,36.840000,35.463379,4370500
2016-08-19,36.709999,36.799999,36.299999,36.349998,34.991684,7517200
2016-08-22,36.340000,36.540001,36.130001,36.279999,34.924305,4829500
2016-08-23,36.459999,36.799999,36.450001,36.689999,35.318981,4566400
2016-08-24,36.599998,36.840000,36.419998,36.660000,35.290100,4473300
2016-08-25,36.549999,36.849998,36.430000,36.689999,35.318981,3334900
2016-08-26,36.730000,36.770000,36.049999,36.270000,34.914680,5245500
2016-08-29,36.410000,36.540001,36.320000,36.450001,35.087952,4108700
2016-08-30,36.450001,37.340000,36.369999,37.180000,35.790665,6007300
2016-08-31,37.200001,37.619999,36.400002,36.880001,35.501888,8148200
2016-09-01,36.880001,37.250000,36.410000,36.590000,35.222717,4781400
2016-09-02,36.570000,37.009998,36.520000,36.889999,35.511509,4456000
2016-09-06,36.889999,37.070000,36.560001,36.950001,35.569260,6383300
2016-09-07,37.320000,38.840000,37.279999,38.680000,37.234619,11627700
2016-09-08,38.540001,39.060001,38.430000,38.759998,37.311630,7353400
2016-09-09,38.680000,38.689999,37.180000,37.340000,35.944695,9013300
2016-09-12,36.939999,37.930000,36.639999,37.820000,36.406754,5192900
2016-09-13,37.730000,38.090000,37.009998,37.139999,35.752159,6749000
2016-09-14,37.139999,37.410000,36.650002,36.840000,35.463379,5071700
2016-09-15,36.810001,37.119999,36.450001,36.990002,35.607773,4405400
2016-09-16,36.900002,36.900002,36.509998,36.590000,35.222717,6268400
2016-09-19,36.709999,37.180000,36.590000,36.700001,35.328606,5395200
2016-09-20,36.790001,37.200001,36.630001,36.820000,35.444115,3312000
2016-09-21,36.799999,37.060001,36.310001,36.910000,35.530754,4971100
2016-09-22,37.090000,37.669998,36.919998,37.330002,35.935066,6559600
2016-09-23,37.250000,37.389999,36.770000,37.240002,35.848423,4628200
2016-09-26,36.970001,37.160000,36.610001,36.869999,35.492260,5718700
2016-09-27,36.779999,38.570000,36.779999,38.540001,37.099854,10038200
2016-09-28,38.529999,38.950001,37.950001,38.070000,36.647411,7121100
2016-09-29,38.020000,38.540001,37.950001,38.150002,36.724422,5535000
2016-09-30,38.270000,39.180000,38.029999,38.889999,37.436771,9364400
2016-10-03,38.849998,39.740002,38.700001,39.740002,38.255009,8643600
2016-10-04,40.320000,40.490002,39.090000,39.160000,37.696686,10682200
